DeviceID	DeviceType	TimeStamp	CurrentStatus	InferredActivity
Machine2	Sensor	10	eventYesMotion	Intruder entered home	
Machine2	Sensor	11	eventYesMotion	Intruder entered home	
Machine2	Sensor	12	eventYesMotion	Intruder entered home	
Machine2	Sensor	13	eventYesMotion	Intruder entered home	
Machine2	Sensor	14	eventYesMotion	Intruder entered home	
Machine2	Sensor	15	eventYesMotion	Intruder entered home	
Machine2	Sensor	16	eventYesMotion	Intruder entered home	
Machine2	Sensor	17	eventYesMotion	Intruder entered home	
Machine2	Sensor	18	eventYesMotion	Intruder entered home	
Machine2	Sensor	19	eventYesMotion	Intruder entered home	
Machine2	Sensor	20	eventYesMotion	Intruder entered home	
Machine2	Sensor	21	eventYesMotion	Intruder entered home	
Machine2	Sensor	22	eventYesMotion	Intruder entered home	
Machine2	Sensor	23	eventYesMotion	Intruder entered home	
Machine2	Sensor	24	eventYesMotion	Intruder entered home	
Machine2	Sensor	25	eventYesMotion	Intruder entered home	
Machine2	Sensor	26	eventYesMotion	Intruder entered home	
Machine2	Sensor	27	eventYesMotion	Intruder entered home	
Machine2	Sensor	28	eventYesMotion	Intruder entered home	
Machine2	Sensor	29	eventYesMotion	Intruder entered home	
Machine2	Sensor	30	eventYesMotion	Intruder entered home	
Machine2	Sensor	31	eventYesMotion	Intruder entered home	
Machine2	Sensor	32	eventYesMotion	Intruder entered home	
Machine2	Sensor	33	eventYesMotion	Intruder entered home	
Machine2	Sensor	34	eventYesMotion	Intruder entered home	
Machine2	Sensor	35	eventYesMotion	Intruder entered home	
Machine2	Sensor	36	eventYesMotion	Intruder entered home	
Machine2	Sensor	37	eventYesMotion	Intruder entered home	
Machine2	Sensor	38	eventYesMotion	Intruder entered home	
Machine2	Sensor	39	eventYesMotion	Intruder entered home	
Machine2	Sensor	40	eventYesMotion	Intruder entered home	
Machine2	Sensor	41	eventYesMotion	Intruder entered home	
Machine2	Sensor	42	eventYesMotion	Intruder entered home	
Machine2	Sensor	43	eventYesMotion	Intruder entered home	
Machine2	Sensor	44	eventYesMotion	Intruder entered home	
Machine2	Sensor	45	eventYesMotion	Intruder entered home	
Machine2	Sensor	46	eventYesMotion	Intruder entered home	
Machine2	Sensor	47	eventYesMotion	Intruder entered home	
Machine2	Sensor	48	eventYesMotion	Intruder entered home	
Machine2	Sensor	49	eventYesMotion	Intruder entered home	
Machine2	Sensor	50	eventYesMotion	Intruder entered home	
Machine2	Sensor	51	eventYesMotion	Intruder entered home	
Machine2	Sensor	52	eventYesMotion	Intruder entered home	
Machine2	Sensor	53	eventYesMotion	Intruder entered home	
Machine2	Sensor	54	eventYesMotion	Intruder entered home	
Machine2	Sensor	55	eventYesMotion	Intruder entered home	
Machine2	Sensor	56	eventYesMotion	Intruder entered home	
Machine2	Sensor	57	eventYesMotion	Intruder entered home	
Machine2	Sensor	58	eventYesMotion	Intruder entered home	
Machine2	Sensor	59	eventYesMotion	Intruder entered home	
Machine2	Sensor	60	eventYesMotion	Intruder entered home	
Machine2	Sensor	61	eventYesMotion	Intruder entered home	
Machine2	Sensor	62	eventYesMotion	Intruder entered home	
Machine2	Sensor	63	eventYesMotion	Intruder entered home	
Machine2	Sensor	64	eventYesMotion	Intruder entered home	
Machine2	Sensor	65	eventYesMotion	Intruder entered home	
Machine2	Sensor	66	eventYesMotion	Intruder entered home	
Machine2	Sensor	67	eventYesMotion	Intruder entered home	
Machine2	Sensor	68	eventYesMotion	Intruder entered home	
Machine2	Sensor	69	eventYesMotion	Intruder entered home	
Machine2	Sensor	70	eventYesMotion	Intruder entered home	
Machine2	Sensor	71	eventYesMotion	Intruder entered home	
Machine2	Sensor	72	eventYesMotion	Intruder entered home	
Machine2	Sensor	73	eventYesMotion	Intruder entered home	
Machine2	Sensor	74	eventYesMotion	Intruder entered home	
Machine2	Sensor	75	eventYesMotion	Intruder entered home	
Machine2	Sensor	76	eventYesMotion	Intruder entered home	
Machine2	Sensor	77	eventYesMotion	Intruder entered home	
Machine2	Sensor	78	eventYesMotion	Intruder entered home	
Machine2	Sensor	79	eventYesMotion	Intruder entered home	
Machine2	Sensor	80	eventYesMotion	Intruder entered home	
Machine2	Sensor	81	eventYesMotion	Intruder entered home	
Machine2	Sensor	82	eventYesMotion	Intruder entered home	
Machine2	Sensor	83	eventYesMotion	Intruder entered home	
Machine2	Sensor	84	eventYesMotion	Intruder entered home	
Machine2	Sensor	85	eventYesMotion	Intruder entered home	
Machine2	Sensor	86	eventYesMotion	Intruder entered home	
Machine2	Sensor	87	eventYesMotion	Intruder entered home	
Machine2	Sensor	88	eventYesMotion	Intruder entered home	
Machine2	Sensor	89	eventYesMotion	Intruder entered home	
Machine2	Sensor	90	eventYesMotion	Intruder entered home	
Machine2	Sensor	91	eventYesMotion	Intruder entered home	
Machine2	Sensor	92	eventYesMotion	Intruder entered home	
Machine2	Sensor	93	eventYesMotion	Intruder entered home	
Machine2	Sensor	94	eventYesMotion	Intruder entered home	
Machine2	Sensor	95	eventYesMotion	Intruder entered home	
Machine2	Sensor	96	eventYesMotion	Intruder entered home	
Machine2	Sensor	97	eventYesMotion	Intruder entered home	
Machine2	Sensor	98	eventYesMotion	Intruder entered home	
Machine2	Sensor	99	eventYesMotion	Intruder entered home	
Machine2	Sensor	100	eventYesMotion	Intruder entered home	
Machine2	Sensor	101	eventYesMotion	Intruder entered home	
Machine2	Sensor	102	eventYesMotion	Intruder entered home	
Machine2	Sensor	103	eventYesMotion	Intruder entered home	
Machine2	Sensor	104	eventYesMotion	Intruder entered home	
Machine2	Sensor	105	eventYesMotion	Intruder entered home	
Machine2	Sensor	106	eventYesMotion	Intruder entered home	
Machine2	Sensor	107	eventYesMotion	Intruder entered home	
Machine2	Sensor	108	eventYesMotion	Intruder entered home	
Machine2	Sensor	109	eventYesMotion	Intruder entered home	
Machine2	Sensor	110	eventYesMotion	Intruder entered home	
Machine2	Sensor	111	eventYesMotion	Intruder entered home	
Machine2	Sensor	112	eventYesMotion	Intruder entered home	
Machine2	Sensor	113	eventYesMotion	Intruder entered home	
